id	count
armatage	13
audubon_park	67
bancroft	37
beltrami	16
bottineau	59
bryant	43
bryn_mawr	12
camden_industrial	21
carag	120
cedar_isles_dean	14
cedar_riverside	174
central	354
cleveland	111
columbia_park	13
como	54
cooper	16
corcoran	153
diamond_lake	24
downtown_east	26
downtown_west	1094
east_harriet	13
east_isles	56
east_phillips	344
ecco	25
elliot_park	202
ericsson	27
field	16
folwell	352
fulton	13
hale	5
harrison	121
hawthorne	413
hiawatha	39
holland	147
howe	66
humboldt_industrial_area	1
jordan	553
keewaydin	17
kenny	4
kenwood	5
king_field	72
lind_bohanon	113
linden_hills	12
logan_park	42
longfellow	220
loring_park	239
lowry_hill	25
lowry_hill_east	170
lyndale	238
lynnhurst	18
marcy_holmes	192
marshall_terrace	22
mckinley	149
mid_city_industrial	5
midtown_phillips	373
minnehaha	25
morris_park	16
near_north	416
nicollet_island_east_bank	25
north_loop	142
northeast_park	18
northrop	41
page	1
phillips_west	235
powderhorn_park	420
prospect_park_east_river	67
regina	30
seward	190
sheridan	60
shingle_creek	28
st_anthony_east	32
st_anthony_west	31
standish	85
stevens_square_loring_heights	132
sumner_glenwood	34
tangletown	34
university_of_minnesota	16
ventura_village	514
victory	60
waite_park	22
webber_camden	206
wenonah	44
west_calhoun	7
whittier	514
willard_hay	417
windom	45
windom_park	77
